127.0.0.1 - - [21/Jul/2017:18:36:41 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:36:51 +0530] "GET /MVCBOOTSpringSecurityApp44/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:36:52 +0530] "GET /favicon.ico HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:38:19 +0530] "GET /MVCBOOTSpringSecurityApp44/inbox.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:38:19 +0530] "GET /MVCBOOTSpringSecurityApp44/login HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:38:49 +0530] "POST /MVCBOOTSpringSecurityApp44/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:38:50 +0530] "GET /MVCBOOTSpringSecurityApp44/inbox.htm HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:38:53 +0530] "GET /MVCBOOTSpringSecurityApp44/home.htm HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:38:53 +0530] "GET /MVCBOOTSpringSecurityApp44/inbox.htm HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:38:54 +0530] "GET /MVCBOOTSpringSecurityApp44/j_spring_security_logout HTTP/1.1" 404 306
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:39:11 +0530] "GET /MVCBOOTSpringSecurityApp44 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:39:11 +0530] "GET /MVCBOOTSpringSecurityApp44/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:39:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:39:12 +0530] "GET /MVCBOOTSpringSecurityApp44/inbox.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:39:12 +0530] "GET /MVCBOOTSpringSecurityApp44/login HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:39:17 +0530] "POST /MVCBOOTSpringSecurityApp44/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:39:17 +0530] "GET /MVCBOOTSpringSecurityApp44/login?error HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:39:28 +0530] "POST /MVCBOOTSpringSecurityApp44/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:39:28 +0530] "GET /MVCBOOTSpringSecurityApp44/inbox.htm HTTP/1.1" 403 238
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:39:33 +0530] "GET /MVCBOOTSpringSecurityApp44/home.htm HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:39:34 +0530] "GET /MVCBOOTSpringSecurityApp44/inbox.htm HTTP/1.1" 403 238
0:0:0:0:0:0:0:1 - - [21/Jul/2017:18:39:35 +0530] "GET /MVCBOOTSpringSecurityApp44/j_spring_security_logout HTTP/1.1" 404 306
